Variables,Coefficients,ORE
ENT,1.3480121192702292,3.8497650454061634
percentile_50_flag_gt,0.4937678436717815,1.6384781335688177
activate,0.4357603628117075,1.5461382381314803
percentile_25_flag_gt,0.13289884622155582,1.1421344612712387
percentile_75_flag_gt,0.10775410312174287,1.1137738382014888
std_l3,-0.001524261630962486,0.998476899465784
Intercept,-2.027528534137079,0.13166051384435215
