feature,sample_class,sample_class_label,sample_count,min_value,max_value,non_event_count,non_event_rate,event_count,event_rate,distbn_non_event,distbn_event,woe,iv,iv_sum,remarks
acct_id,SA74373,,1,SA74373,SA74373,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74385,,1,SA74385,SA74385,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74394,,1,SA74394,SA74394,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74397,,1,SA74397,SA74397,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74401,,1,SA74401,SA74401,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74413,,1,SA74413,SA74413,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74415,,1,SA74415,SA74415,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74420,,1,SA74420,SA74420,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74427,,1,SA74427,SA74427,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74444,,1,SA74444,SA74444,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74447,,1,SA74447,SA74447,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74448,,1,SA74448,SA74448,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74455,,1,SA74455,SA74455,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74459,,1,SA74459,SA74459,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74463,,1,SA74463,SA74463,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74489,,1,SA74489,SA74489,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
